row_number,ground_truth_path,prompt,feedback_1,feedback_level_1,feedback_2,feedback_level_2,feedback_3,feedback_level_3,feedback_4,feedback_level_4,feedback_5,feedback_level_5,feedback_6,feedback_level_6,feedback_7,feedback_level_7,feedback_8,feedback_level_8,feedback_9,feedback_level_9,feedback_10,feedback_level_10,feedback_11,feedback_level_11,feedback_12,feedback_level_12,feedback_13,feedback_level_13,feedback_14,feedback_level_14,feedback_15,feedback_level_15,feedback_16,feedback_level_16,feedback_17,feedback_level_17,feedback_18,feedback_level_18
118,Data\groud_truth\template\EventBridge_Pipes_with_API_destinations.yaml,"We need a CloudFormation template that creates an EventBridge Pipes workflow to enrich SQS messages with external API data and log results, which automates data augmentation and monitoring for event-driven systems. The template should provision an SQS queue as the event source, an API destination (https://api.zippopotam.us/us/*), and a CloudWatch Log Group as the target. It must define an IAM role granting EventBridge Pipes permissions to read messages from SQS, invoke the API destination, and write enriched logs to CloudWatch. The EventBridge Pipe enriches messages by dynamically appending API data (e.g., fetching location details using a zip code from the message body) before forwarding results to logs. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ApiDestination
  Error: {'Fn::Sub': '${ApiEndpointUrl}/us/{zipcode}'} does not match ""^((%[0-9A-Fa-f]{2}|[-()_.!~*';/?:@\\x26=+$,A-Za-z0-9])+)([).!';/?:,])?$"" when 'Fn::Sub' is resolved",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Data\groud_truth\template\event-kinesis.yaml,"We need a CloudFormation template that creates an EventBridge-to-Kinesis integration for real-time event streaming, which routes application-generated events to a Kinesis data stream for scalable processing or analytics. The template should provision an EventBridge event bus to capture events from a defined source (`my-application`), a Kinesis stream to ingest and buffer these events, and an IAM role granting EventBridge permissions to publish records to Kinesis. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Data\groud_truth\template\sqs-pipes-batch-service.yaml,"We need a CloudFormation template that creates an event-driven AWS Batch job processing pipeline integrated with SQS and EventBridge Pipes, which automates the execution of containerized tasks in response to specific messages (e.g., ""OrderCreated""). The template should provision an SQS queue as the event source, an AWS Batch environment with a job queue and job definition, and an EventBridge Pipe to filter messages and trigger Batch jobs. Security configurations include IAM roles for Batch, Pipes, and ECS execution, along with VPC private subnets and security groups to isolate compute resources. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: PipesRole
  Error: 'Arn' is not one of ['JobQueueArn'] in ['us-east-1']
- Resource: EventBridgePipe
  Error: 'Arn' is not one of ['JobQueueArn'] in ['us-east-1']
- Resource: EventBridgePipe
  Error: Additional properties are not allowed ('FilterCriteria' was unexpected)
- Resource: BatchJobQueueARN
  Error: 'Arn' is not one of ['JobQueueArn'] in ['us-east-1']",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: SQSPollerFunction
  Error: Runtime 'nodejs14.x' was deprecated on '2023-12-04'. Creation was disabled on '2024-07-09' and update on '2025-02-28'. Please consider updating to 'nodejs20.x'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Data\groud_truth\template\eventbridge-schedule-to-ssm.yaml,"We need a CloudFormation template that creates a scheduled automation workflow using EventBridge Scheduler and AWS Systems Manager (SSM), which executes cross-platform scripts on tagged EC2 instances at regular intervals. The template should provision Linux and Windows EC2 instances (with SSM agent roles), an SSM document defining OS-specific commands (e.g., echoing ""Hello World!""), and an SSM State Manager Association to target instances tagged with `HelloWorld: true`. It must configure an EventBridge Schedule to trigger the SSM Association every 15 minutes, using an IAM role with permissions to invoke SSM actions. Security requirements include IAM roles for EC2 instances (with SSM/S3 access) and EventBridge, along with an S3 bucket to store execution logs. Outputs provide instance IDs, log bucket name, and schedule ARN for monitoring. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Data\groud_truth\template\ShopifyAPIDestination.yaml,"We need a CloudFormation template that creates an EventBridge integration with Shopify's product creation API, which automates product updates in Shopify based on application events. The template should provision an EventBridge event bus to capture events from a specified source (`MyShopifyApp`), configure an API destination targeting Shopify's product creation endpoint, and authenticate requests using a Shopify admin API key (provided as a parameter). The name for the myshopify shop is testanu.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ShopifyConnection
  Error: 'BasicAuthParameters' is a required property
- Resource: ShopifyConnection
  Error: 'OAuthParameters' is a required property
- Resource: ShopifyConnection
  Error: 'ApiKeyAuthParameters' is a required property
- Resource: ShopifyConnection
  Error: {'ApiKey': {'Key': 'X-Shopify-Access-Token', 'Value': {'Ref': 'ShopifyAdminAPIKey'}}} is not valid under any of the given schemas
- Resource: ShopifyConnection
  Error: Additional properties are not allowed ('ApiKey' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ShopifyConnection
  Error: 'Resources/ShopifyConnection/Properties/AuthParameters' has more than 2 properties
- Resource: ShopifyConnection
  Error: {'ApiKeyAuthParameters': {'ApiKeyName': 'X-Shopify-Access-Token', 'ApiKeyValue': {'Ref': 'ShopifyAdminAPIKey'}}, 'BasicAuthParameters': {'Username': '', 'Password': ''}, 'OAuthParameters': {'AuthorizationEndpoint': '', 'HttpMethod': 'GET', 'OAuthHttpParameters': {'BodyParameters': [], 'HeaderParameters': [], 'QueryStringParameters': []}, 'ClientParameters': {'ClientID': '', 'ClientSecret': ''}}} is valid under each of {'required': ['OAuthParameters']}, {'required': ['ApiKeyAuthParameters']}, {'required': ['BasicAuthParameters']}
- Resource: ShopifyConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: ShopifyConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: ShopifyConnection
  Error: Password shouldn't be hardcoded for Resources/ShopifyConnection/Properties/AuthParameters/BasicAuthParameters/Password
- Resource: ShopifyConnection
  Error: '' does not match ""^((%[0-9A-Fa-f]{2}|[-()_.!~*';/?:@\\x26=+$,A-Za-z0-9])+)([).!';/?:,])?$""
- Resource: ShopifyConnection
  Error: '' is shorter than 1
- Resource: ShopifyConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: ShopifyConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Data\groud_truth\template\stripe.yaml,"We need a CloudFormation template that creates an EventBridge integration with Stripe's product API, which automates product creation in Stripe based on application events. The template should provision an EventBridge event bus to capture events from a specified source (`PartnerApp` with `PartnerAppDetailType`), configure an API destination targeting Stripe's endpoint (https://api.stripe.com/v1/products), and authenticate requests using an API key (provided via parameters) in the `Authorization` header. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: StripeApiConnection
  Error: 'BasicAuthParameters' is a required property
- Resource: StripeApiConnection
  Error: 'OAuthParameters' is a required property
- Resource: StripeApiConnection
  Error: 'ApiKeyAuthParameters' is a required property
- Resource: StripeApiConnection
  Error: {'ApiKey': {'Key': 'Authorization', 'Value': {'Fn::Sub': 'Bearer ${StripeApiKey}'}}} is not valid under any of the given schemas
- Resource: StripeApiConnection
  Error: Additional properties are not allowed ('ApiKey' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: StripeApiConnection
  Error: 'ApiKeyName' is a required property
- Resource: StripeApiConnection
  Error: 'ApiKeyValue' is a required property
- Resource: StripeApiConnection
  Error: Additional properties are not allowed ('Key' was unexpected)
- Resource: StripeApiConnection
  Error: Additional properties are not allowed ('Value' was unexpected)",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Data\groud_truth\template\api_with_dynamoDB.yaml,"We need a CloudFormation template that creates a secure REST API Gateway integrated with Amazon DynamoDB for managing music data, which enables CRUD operations (Create/Read) through HTTP endpoints. The template should provision a DynamoDB table (`Music`) with a global secondary index (`Artist-Index`) for querying by artist, and an API Gateway with two methods: a **POST** endpoint to add music entries (artist, album) and a **GET** endpoint to retrieve entries by artist. Security requirements include API key authentication, IAM roles for API Gateway to access DynamoDB, and a usage plan with rate limiting/throttling to control traffic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Data\groud_truth\template\apigateway_ses.yaml,"We need a CloudFormation template that creates a secure REST API Gateway integrated with Amazon Simple Email Service (SES), which enables sending templated emails via HTTP endpoints while enforcing validation and rate limits. The template should provision an API Gateway with a POST method that transforms JSON payloads (containing `to`, `from`, `subject`, `text/html` content, etc.) into SES-compatible form data. It must configure an IAM role granting API Gateway permissions to invoke SES's `SendEmail` action and include request validation to ensure payloads adhere to a defined JSON schema. Security requirements include API key authentication, a usage plan with throttling (500 requests/second) and monthly quotas (10,000 requests), and encrypted API key handling. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Data\groud_truth\template\apigateway_kinesis.yaml,"We need a CloudFormation template that creates a REST API Gateway integrated with Amazon Kinesis Data Streams, which enables HTTP-based interaction for ingesting and retrieving streaming data without direct AWS SDK dependencies. The template should provision a Kinesis stream and an API Gateway with endpoints to PUT records (single or batch), GET records via shard iterators, and manage stream metadata. Security configurations include an IAM role granting API Gateway permissions to perform Kinesis actions (`PutRecord`, `GetRecords`, etc.). The API transforms incoming HTTP requests into Kinesis-compatible formats (e.g., base64 encoding data, handling partition keys) and routes them to the specified stream.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Data\groud_truth\template\efs_easy.yaml,"We need a CloudFormation template that creates an Amazon EFS file system with basic configurations for a testing environment, which establishes a shared storage solution in us-east-1a. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: SubnetA
  Error: Avoid hardcoding availability zones 'us-east-1a'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Data\groud_truth\template\securityhub-controls.yaml,"We need a CloudFormation template that creates an automated solution for managing AWS Security Hub controls, which selectively disables specific compliance checks (CIS Benchmarks and AWS Foundational Security Best Practices) to tailor security monitoring to organizational requirements. The template deploys a Lambda function that programmatically updates Security Hub controls via the AWS SDK, enabling or disabling them based on user-provided parameters (e.g., `DisableCIS140Controls`). Security configurations include IAM roles with optional permissions boundaries and CloudWatch Logs retention policies. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Data\groud_truth\template\config.yaml,"We need a CloudFormation template that creates a secure and compliant AWS Config setup with customizable retention policies and delivery configurations, which automates resource configuration tracking and audit logging across an AWS account. The template provisions an S3 bucket (or integrates with an existing one) to store configuration snapshots, an SNS topic for notifications, and configures AWS Config to record all resource changes with global coverage. Security measures include enforcing SSL for S3 bucket access, blocking public access, and optional IAM permission boundaries. A Lambda function dynamically manages retention periods (via custom resource) to align with compliance requirements (default: 2557 days) and adjusts delivery frequency (e.g., hourly/daily snapshots). ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Data\groud_truth\template\account-password-policy.yaml,"We need a CloudFormation template that creates and manages an AWS account-wide IAM password policy with customizable security requirements, which enforces strong authentication practices for IAM users. The template configures parameters such as minimum password length (default: 14), mandatory character types (uppercase, lowercase, numbers, symbols), password expiration (e.g., 90 days), reuse prevention (e.g., 24 previous passwords), and self-service password changes. Security configurations include a Lambda function to dynamically apply/remove the policy via AWS SDK and optional IAM permission boundaries. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Data\groud_truth\template\alert.yaml,"We need a CloudFormation template that creates a centralized alerting system using Amazon SNS, which aggregates notifications from multiple AWS services (e.g., CloudWatch Alarms, RDS, S3, Budgets) and routes them to configurable endpoints like email, HTTP/HTTPS URLs, or a fallback email for delivery failures. The template provisions an SNS topic with a policy allowing authorized AWS services to publish alerts, along with subscriptions for user-defined endpoints (email, webhooks) and retry policies for HTTP(S) targets. A CloudWatch Alarm monitors failed notifications and triggers a fallback SNS topic to ensure redundancy. Note the email and httpsendpoints may not be provided, so consider add conditions.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Data\groud_truth\template\batch-demo.template.yaml,"We need a CloudFormation template that creates an AWS Batch environment for executing containerized batch jobs, which automates infrastructure setup for scalable data processing tasks (e.g., S3 file operations). The template provisions a VPC with a subnet, an S3 bucket for input/output data, and configures AWS Batch components: a compute environment (EC2-based, with `m5.large` instances), a job queue, and a job definition using a Docker image (default: `amazonlinux`). The job definition includes a sample script that installs the AWS CLI, copies an S3 object, and re-uploads it, demonstrating basic workflow automation. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Data\groud_truth\template\arch7-lab1.template.yaml,"We need a CloudFormation template that creates a self-contained web server environment in AWS, which provisions a VPC, subnet, security group, and an EC2 instance preconfigured with Apache, PHP, and sample web content. The template deploys a `t2.micro` instance using the latest Amazon Linux AMI, configures HTTP access via a security group, and automates software installation/content deployment via a user data script. The instance retrieves a ZIP file from S3, unzips it into the web root, and hosts the content. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Data\groud_truth\template\lambda-demo.yaml,"We need a CloudFormation template that creates a basic AWS Lambda function. The template provisions a Lambda function with inline Node.js code that logs event details and returns a value from the input, along with an IAM role granting permissions to write logs to CloudWatch. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Data\groud_truth\template\cloudfront-demo-api.yaml,"We need a CloudFormation template that creates a CloudFront distribution which fronts a regional API Gateway REST API with a mock backend. The solution should define an API Gateway with a `/hello` GET endpoint returning a static ""hello world"" JSON response.  Configure CloudFront to route requests to the API Gateway's production stage, disabling caching to ensure real-time responses. Ensure the CloudFront distribution uses HTTPS for origin communication and enforces HTTPS redirection for end users.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Data\groud_truth\template\permission-boundary-demo.yaml,"We need a CloudFormation template that creates an IAM role with configurable permission boundaries which enforces governance controls for developer-created IAM resources. The solution should create a role with broad IAM privileges but conditionally apply permission boundaries to limit unintended escalation of permissions. Allow developers to create/modify roles and policies only if they adhere to naming prefixes (e.g., `MyTeam*`), mandatory `Owner` tags, and include a permission boundary policy. Provide a toggle parameter to enable/disable strict boundary enforcement, switching between permissive and restricted IAM policies. Define a default permission boundary policy that restricts actions to S3 and read-only IAM operations, overriding any permissions of roles created by developers. Ensure all developer-managed IAM resources are tagged with a team-specific `Owner` tag for accountability and resource tracking. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Data\groud_truth\template\appsync-demo.yaml,"We need a CloudFormation template that creates an AppSync GraphQL API with a Lambda backend which provides a serverless pet inventory query service. The solution should deploy a Lambda function returning mock pet data (ID, name, type) as a static dataset. Define an AppSync GraphQL API (`PetShopAPI`) with API_KEY authentication for anonymous access and a schema supporting a `getPets` query to fetch pet details. Configure IAM roles for Lambda execution and AppSync-to-Lambda invocation, ensuring least privilege. Link the AppSync resolver to the Lambda data source using request/response mapping templates to transform the Lambda output into the GraphQL schema format.  ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: PetInventoryFunction
  Error: Runtime 'nodejs14.x' was deprecated on '2023-12-04'. Creation was disabled on '2024-07-09' and update on '2025-02-28'. Please consider updating to 'nodejs20.x'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Data\groud_truth\template\arch-lab1-demo.yaml,"We need a CloudFormation template that creates a web application environment with integrated S3, DynamoDB, and EC2 resources. The solution should deploy an EC2 instance in a VPC with public subnet access, configured with Apache/PHP and preloaded lab files to serve a web application. Create an S3 bucket to host static assets (images, jQuery libraries) and a DynamoDB table (`AWS-Services`) with composite keys for structured data storage.  Attach an IAM role to the EC2 instance granting full S3 and DynamoDB access, enabling automated asset uploads and database population via UserData scripts. Automate application setup during instance bootstrapping, including PHP/AWS SDK installation, dynamic region/bucket configuration, and DynamoDB data ingestion from JSON files. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: StaticAssetsBucketPolicy
  Error: 'StaticAssetsBucket' dependency already enforced by a 'Ref' at 'Resources/StaticAssetsBucketPolicy/Properties/Bucket'
- Resource: StaticAssetsBucketPolicy
  Error: 'StaticAssetsBucket' dependency already enforced by a 'Ref' at 'Resources/StaticAssetsBucketPolicy/Properties/PolicyDocument/Statement/0/Resource'
- Resource: WebServerInstance
  Error: 'StaticAssetsBucket' dependency already enforced by a 'Ref' at 'Resources/WebServerInstance/Properties/UserData/Fn::Base64'
- Resource: WebServerInstance
  Error: 'WebServerInstanceProfile' dependency already enforced by a 'Ref' at 'Resources/WebServerInstance/Properties/IamInstanceProfile'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Data\groud_truth\template\custom-resource-example.yaml,"We need a CloudFormation template that creates a custom resource using AWS Lambda which demonstrates dynamic parameter processing and controlled success/failure scenarios during stack operations. The solution should deploy a Lambda function to perform arithmetic operations (addition, subtraction, multiplication, division) based on user-provided parameters (`FirstNumber`, `SecondNumber`, `Operator`). Implement a conditional failure mechanism via a parameter to simulate custom resource errors for testing purposes. Define a `Custom::helper` resource that invokes the Lambda during stack creation/updates and propagates calculation results to CloudFormation outputs. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ArithmeticHelper
  Error: 'ArithmeticLambdaFunction' dependency already enforced by a 'GetAtt' at 'Resources/ArithmeticHelper/Properties/ServiceToken'",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Data\groud_truth\template\stepfunction-calculator.yaml,"We need a CloudFormation template that creates a serverless calculator workflow using AWS Step Functions and Lambda which processes arithmetic operations based on dynamic input. The solution should define a Step Functions state machine (`Calculator-StateMachine`) with a choice state to route requests to the appropriate arithmetic operation (add, subtract, multiply, divide) or fail for unsupported operators. It should deploy a Lambda function (`Calculator`) to execute calculations using input parameters (`operator` and `operands`), returning results to the workflow. Configure a CloudWatch Logs group for the Lambda function to retain logs for 3 days, simplifying debugging and cleanup.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Data\groud_truth\template\stepfunction-recognition.yaml,"We need a CloudFormation template that creates an automated image recognition pipeline using Step Functions, S3, and Amazon Rekognition which triggers SMS alerts when human faces are detected in uploaded images. The solution should deploy an S3 bucket with EventBridge notifications enabled to detect image uploads and initiate a Step Functions workflow. Define a Step Functions state machine that validates image file extensions, invokes Amazon Rekognition to detect ""Human"" or ""Person"" labels, and sends SMS alerts via SNS if detected, using a phone number (+14071113333`).  Configure IAM roles for EventBridge (to trigger Step Functions) and the state machine (to access S3, Rekognition, and SNS), ensuring least-privilege permissions. Include a custom Lambda resource to empty the S3 bucket during stack deletion, avoiding retention conflicts.  ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Data\groud_truth\template\systems-manager-demo.yaml,"We need a CloudFormation template that creates EC2 instances managed by AWS Systems Manager (SSM). The solution should deploy Auto Scaling Groups with launch templates for both Linux (Amazon Linux 2) and Windows instances, using SSM Parameter Store to fetch the latest AMIs dynamically. Configure a VPC with public subnets, internet gateway, and security groups to allow HTTP access and ensure instances are network-accessible for SSM operations. Attach IAM roles (`SSMRole`) with `AmazonEC2RoleforSSM` policy to instances, granting permissions for SSM agent communication and management tasks (e.g., Run Command, Patch Manager). Automate SSM agent installation on Linux instances via user data scripts, while leveraging pre-configured SSM integration for Windows AMIs. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LinuxLaunchTemplate
  Error: 'Fn::Sub' isn't needed because there are no variables
- Resource: WindowsLaunchTemplate
  Error: 'Fn::Sub' isn't needed because there are no variables",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Data\groud_truth\template\arch7-lab6.yaml,"We need a CloudFormation template that creates a secure static website hosted on S3 with CloudFront CDN integration which automates content deployment and cleanup. The solution should deploy an S3 bucket configured with public read access for CloudFront via an Origin Access Identity (OAI), ensuring secure content delivery without exposing the bucket directly to the internet. Create a CloudFront distribution with HTTPS enforcement, caching disabled, and integration with the S3 bucket to serve static content globally.  Use a custom Lambda resource to automatically populate the S3 bucket with a default `index.html` file during stack creation and empty the bucket during stack deletion, avoiding retention conflicts.  ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: S3Bucket
  Error: 'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Data\groud_truth\template\arch7-lab2.yaml,"We need a CloudFormation template that creates a multi-tier AWS network environment with secure public/private subnets and SSM-managed EC2 instances. The solution should deploy a VPC with two public and private subnets, NAT Gateway, and route tables to enable internet access for private instances while isolating backend resources. Launch EC2 instances in both subnets: a public instance (`PublicInstance`) hosting a web server (Apache/PHP) and a private instance (`PrivateInstance`), both managed via AWS Systems Manager using IAM roles with `AmazonSSMManagedInstanceCore` policy. Configure security groups to restrict traffic: public instances allow HTTP access globally, while private instances only permit HTTPS from the public security group.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Data\groud_truth\template\cloudfront-demo.yaml,"We need a CloudFormation template that creates a secure static website hosted on S3 with CloudFront CDN integration and automated content management which enforces HTTPS and optimizes caching. The solution should deploy an S3 bucket configured with Origin Access Control to securely grant CloudFront read access to objects, replacing legacy OAI methods. Create a CloudFront distribution with a custom cache policy (60-second default TTL, HTTPS enforcement) and integration with the S3 bucket for global content delivery. Automate bucket initialization via a Lambda custom resource that deploys a default `index.html` file during stack creation and empties the bucket during deletion to avoid retention conflicts.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Data\groud_truth\template\adv-dev-lab3.yaml,"We need a CloudFormation template that creates an automated image analysis pipeline using S3, Lambda, Step Functions, and Rekognition which triggers SMS alerts when human faces are detected in uploaded images. The solution should deploy an S3 bucket configured to trigger a Lambda function on object upload, initiating a Step Functions workflow for image processing. Define a Step Functions state machine to orchestrate Rekognition-based human detection via lambda function and SMS notifications via  lambda function, conditioned on analysis results. Configure IAM roles and policies to resolve circular dependencies between S3 event notifications and Lambda permissions, ensuring secure cross-service communication (S3¡úLambda¡úStep Functions¡úRekognition/SNS). Integrate Amazon SNS to send alerts to a phone number when human labels are detected, using least-privilege access for Lambda execution roles.  ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ImageBucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: AnalysisLambdaFunction
  Error: Runtime 'nodejs16.x' was deprecated on '2024-06-12'. Creation was disabled on '2025-02-28' and update on '2025-03-31'. Please consider updating to 'nodejs20.x'
- Resource: NotificationLambdaFunction
  Error: Runtime 'nodejs16.x' was deprecated on '2024-06-12'. Creation was disabled on '2025-02-28' and update on '2025-03-31'. Please consider updating to 'nodejs20.x'
- Resource: TriggerLambdaFunction
  Error: Runtime 'nodejs16.x' was deprecated on '2024-06-12'. Creation was disabled on '2025-02-28' and update on '2025-03-31'. Please consider updating to 'nodejs20.x'
- Resource: S3NotificationFunction
  Error: Runtime 'nodejs16.x' was deprecated on '2024-06-12'. Creation was disabled on '2025-02-28' and update on '2025-03-31'. Please consider updating to 'nodejs20.x'
- Resource: S3BucketNotificationCustomResource
  Error: 'TriggerLambdaFunction' dependency already enforced by a 'GetAtt' at 'Resources/S3BucketNotificationCustomResource/Properties/NotificationConfiguration/LambdaFunctionConfigurations/0/Function'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Data\groud_truth\template\slot-machine-website.yaml,"We need a CloudFormation template that creates a serverless slot machine web application with automated content deployment and anonymous user access which integrates S3, Lambda, and deploy an S3 bucket configured as a static website hosting slot machine assets (HTML, CSS, images) with public read access. Implement a Lambda function to simulate slot spins, returning randomized results and determining wins based on predefined card combinations. Use Cognito Identity Pool to grant unauthenticated users temporary AWS credentials, allowing frontend JavaScript to securely invoke the Lambda via IAM roles and policies. Automate website setup via a custom Lambda resource that downloads a pre-built ZIP file, injects Cognito/region configurations into the frontend code, and uploads content to S3 during stack deployment. Configure IAM roles to enforce least privilege: one for Lambda execution (with logging permissions) and another for Cognito identities (allowing only `lambda:InvokeFunction`).  Cognito for seamless gameplay. The solution should",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
